Front,Back
"Motor with no rotor windings and typically low starting torque:
a. Squirrel-cage
b. Split-phase
c. Repulsion–induction
d. Capacitor-start",a. Squirrel-cage
"Pump type with very high efficiency (90–95%) at high pressure; close clearances; higher maintenance:
a. Jet
b. Vertical turbine
c. Mixed flow
d. Centrifugal (multistage)",d. Centrifugal (multistage)
"Motor whose rotor resistance can be controlled while running:
a. Synchronous
b. Squirrel-cage
c. Compound
d. Wound-rotor",d. Wound-rotor
"Centrifugal, positive displacement, and turbine are:
a. Types of valves
b. Types of pipe
c. Water plant chemicals
d. Types of pumps",d. Types of pumps
"Pump seals can be classified as:
a. Balanced or unbalanced
b. Packing ring or mechanical
c. Flat/smooth vs. round-faced
d. Factory or custom",b. Packing ring or mechanical
"Discharge rate of a piston-type pump is best described as:
a. Constant as speed changes
b. Precise volume per stroke
c. Varies inversely with head
d. Varies with TDH",b. Precise volume per stroke
"Main purpose of priming:
a. Ensure free operation
b. Compress air in cylinder
c. Replace air with water in pump
d. Wet packing",c. Replace air with water in pump
"Mechanical seals are more appropriate when:
a. High suction head / need to minimize leakage
b. Low rpm
c. High rpm
d. High discharge head",a. High suction head / need to minimize leakage
"Suction-pipe component that holds the prime:
a. Casing
b. Foot valve
c. Impeller
d. Lantern ring",b. Foot valve
"Combined pump–motor efficiency is:
a. Total system efficiency
b. Well efficiency
c. Wire-to-water efficiency
d. Motor-to-pipe efficiency",c. Wire-to-water efficiency
"Primary indicator of bearing failure:
a. Leakage from packing
b. Reduced discharge
c. Noise from pump
d. Odor at discharge",c. Noise from pump
"Feet of head equivalent to 100 psi discharge pressure:
a. 12.0 ft
b. 14.5 ft
c. 43.3 ft
d. 231 ft",d. 231 ft
"Mechanical seals need replacement when leakage occurs:
a. From the pump body
b. Around the shaft
c. At the volute
d. At the slinger ring",b. Around the shaft
"Centrifugal pump part that restricts recirculation between discharge and suction:
a. Wear rings
b. Shaft rings
c. Packing rings
d. Lantern rings",a. Wear rings
"Packing should be replaced when tightening no longer controls leakage from the:
a. Mechanical seal
b. Packing gland
c. Stuffing box
d. Shaft sleeve",b. Packing gland
"At a station with a centrifugal pump, a sudden rise in discharge pressure with drop in flow can also be caused by:
a. A pump control/discharge valve malfunction (closing)
b. Suction valve closing
c. Decreased amperage
d. Increased voltage",a. A pump control/discharge valve malfunction (closing)
"One horsepower equals (ft·lb)/min:
a. 746
b. 3300
c. 7460
d. 33000",d. 33000
"Pressure reading corresponding to 100 ft of head:
a. 2.3 psi
b. 4.3 psi
c. 23.1 psi
d. 43.3 psi",d. 43.3 psi
"Maximum theoretical suction lift at sea level:
a. 10 ft
b. 34 ft
c. 52 ft
d. 85 ft",b. 34 ft
"If only two rings of packing are used, the joints should be:
a. Aligned
b. Staggered
c. Large
d. Lead",b. Staggered
"If only two rings of packing are used, joint staggering should be:
a. 15–45°
b. 45–90°
c. 90–180°
d. 180–225°",c. 90–180°
"Primary function of couplings:
a. Compensate for alignment changes
b. Control motor temperature
c. Reduce shaft wear
d. Lubricate motor",a. Compensate for alignment changes
"Unless water-cooled, mechanical seal temperature should never exceed:
a. 95°F (35°C)
b. 120°F (49°C)
c. 140°F (60°C)
d. 160°F (71°C)",d. 160°F (71°C)
"After initial service, grease-lubricated bearings should be re-greased:
a. Weekly
b. Monthly
c. Every 3–6 months
d. Annually",c. Every 3–6 months
"Electrical demand is:
a. The same as horsepower
b. Opposition to current flow
c. Amount of power (watts) during a given interval
d. Maximum kW over a billing demand interval",d. Maximum kW over a billing demand interval
"Device that converts AC to DC by one-way conduction:
a. Inverter
b. Current transformer
c. Rectifier
d. Voltage regulator",c. Rectifier
"Opposition to electrical current flow is measured in:
a. Ohms
b. Amps
c. Volts
d. Watts",a. Ohms
