Front,Back
"What are common pipe materials?","Ductile iron, PVC, HDPE, steel, and concrete."
"What is tuberculation?","Buildup of corrosion byproducts inside iron pipes, reducing capacity and affecting water quality."
"What is looping in distribution?","Designing mains in interconnected loops to improve reliability, circulation, and fire flow."
"What is a blowoff valve?","A valve used to drain or flush small dead-end mains."
"Why is hydraulic modeling used?","To simulate pressures, flows, and water quality for planning and troubleshooting."
"What is pressure logging?","Recording pressures over time to identify fluctuations, surges, or deficiencies."
"What is a boil water advisory?","A public notice instructing customers to boil water due to contamination risk."
"What is main break isolation?","Closing valves to section off a broken main while maintaining service to other areas."
"What is a storage tank mixing system?","Equipment that circulates water inside tanks to reduce water age and stratification."
"What is nitrification in distribution?","The biological oxidation of ammonia when chloramines are used, leading to residual loss and water quality issues."
