Front,Back
"Why is manganese in water a concern?","It causes black staining, taste/odor, and can cause neurological impacts at high levels."
"What is nitrate’s primary health risk?","Blue baby syndrome (methemoglobinemia) in infants."
"What is the EPA MCL for nitrate (as N)?","10 mg/L as nitrogen."
"What is the MCL for nitrite (as N)?","1 mg/L as nitrogen."
"What is TOC?","Total Organic Carbon, a measure of organic matter that can form disinfection byproducts when chlorinated."
"Why monitor TOC?","High TOC increases DBP formation potential and may affect taste/odor."
"What are trihalomethanes (THMs)?","Chlorine disinfection byproducts formed when chlorine reacts with natural organic matter."
"What is the MCL for total trihalomethanes (TTHMs)?","80 µg/L annual running average."
"What is the MCL for haloacetic acids (HAA5)?","60 µg/L annual running average."
"What is chlorine demand?","The amount of chlorine consumed by reactions before a measurable residual remains."
"What is chlorine residual?","The amount of chlorine left in water after demand is satisfied, available for disinfection."
"What is BOD?","Biochemical Oxygen Demand, the oxygen used by microorganisms to degrade organics in water."
"What is COD?","Chemical Oxygen Demand, the oxygen required to chemically oxidize organics and inorganics."
"What does DO measure?","Dissolved Oxygen, important for aquatic health and corrosion control."
"What is the Winkler method?","A classic wet chemistry method for measuring dissolved oxygen by titration."
"What is a coliform test used for?","As an indicator of potential fecal contamination and pathogen presence."
"What is total coliform?","A group of bacteria indicating sanitary quality; includes fecal coliforms like E. coli."
"What is the Maximum Contaminant Level Goal (MCLG) for E. coli?","Zero, since it indicates fecal contamination and possible pathogens."
"What is a heterotrophic plate count (HPC)?","A general bacterial count method; not health-based but indicates biological regrowth potential."
"What are Giardia and Cryptosporidium?","Protozoan pathogens resistant to chlorine, requiring filtration or UV/ozone for inactivation."
"Why is particle counting done?","To detect filter performance issues that may allow pathogen passage."
"What is Langelier Saturation Index (LSI)?","A calculation predicting whether water will precipitate or dissolve calcium carbonate (scale vs corrosion)."
"What is Standard Methods?","A widely used reference book of analytical methods for water and wastewater testing."
"What is QA/QC in labs?","Quality assurance and quality control practices ensuring valid, reliable laboratory results."
"Why use blanks in lab analysis?","To check for contamination in reagents or equipment."
"Why use duplicates in lab analysis?","To check precision and repeatability of the method."
"Why use standards in lab analysis?","To calibrate instruments and verify accuracy of measurements."
"What is a chain of custody form?","A record documenting sample collection, handling, and transfer to maintain integrity for compliance."
"Why are grab samples used?","They capture water quality at a single moment and location."
"Why are composite samples used?","They represent average conditions over time or flow volume, reducing variability."
"What is a preservative in sampling?","A chemical added (e.g., acid) to stabilize analytes until analysis."
"What is holding time?","The maximum allowable time between sample collection and analysis to ensure validity."
"What is colorimetric analysis?","Using reagents that change color proportionally to analyte concentration, measured by spectrophotometer."
"What is atomic absorption spectroscopy used for?","Measuring trace metals like lead, copper, arsenic, iron, and manganese."
"What is ICP-MS used for?","Inductively Coupled Plasma Mass Spectrometry, detecting ultra-trace metals and isotopes."
"What is gas chromatography used for?","Separating and measuring volatile organic chemicals (VOCs)."
"What is UV-Vis spectrophotometry?","An instrument that measures light absorption by substances in the UV-visible range, useful for nitrate, TOC, etc."
"Why calibrate lab instruments regularly?","To ensure accuracy, reproducibility, and compliance with regulatory standards."
"What is an MDL?","Method Detection Limit, the lowest concentration of a substance that can be reliably measured."
“A sample in the presumptive test for total coliform is positive”,”Gas is produced within 48 hours.”
“If no gas is formed in the inverted vials after the first 24 hours incubation in the presumptive test”,”The culture must be incubated for another 24 hours.”
“The recommended holding period, type of container, and preservation methods are the same chemical constituents”,”A single sample of sufficient volume maybe use for analysis.”
“Modern detergents contain additives called sequestering agents that”,”Prevent hard water from causing problems.”
“The recommended holding period, type of container, and preservation methods are the same chemical constituents”,”A single sample of sufficient volume maybe use for analysis.”
“Sodium thiosulfate crystals are placed in bacteriological samples bottles to”,”Neutralize any chlorine present in the sample.”
“The Langelier index is an indicator used to measure”,”Whether of water is likely to dissolve or precipitate CaCO3”
“The amount of time a sample can be stored depends on”,”The stability of that constituent to be tested and whether the sample can be preserved.”
“A commonly used method to test for chlorine residual in water is called the what method?”,”DPD”
“The chemical name for muriatic acid is”,”Hydrochloric acid.”
“ Who certifies laboratories for the measurement of total coliforms fecal coliform and heterotrophic plate counts”,”USEPA or the State”
“ Which is the maximum holding time for fecal coliforms using the Fecal Coliform Procedure”,”8 hours”
“ Samples to be analyzed for total coliform by the total coliform fermentation technique, must be kept during transit at a temperature below”,”10c”
“ For water systems that collect inorganic samples more frequently than annually(for antimony, arsenic, barium, cadmium, chromium, cyanide, fluoride, mercury, nickel, selenium, and thallium)compliance with the MCL is determined by”,”A running annual average at any sampling point”
“ How should distribution operators preserve a sample to be analyzed for asbestos”,”Preserve by keeping it at 4 Deg. C”
“ How should a distribution operator preserve a sample to be analyzed for Nitrate-Nitrite”,”Preserve with H2SO4”
“ Which is the appropriate holding time for nitrate if the sample is chlorinated and not acidified”,”14 days”
“ How many consecutive annual samples with no detection results for organic contaminant must a water system achieve before it may apply to the state for a waiver”,”3”
“ If a ground water system detects one or more organic compounds in the chloroethylene family (e.g.,trichloroethylene, tetrachloroethylene, and trans-1,2- dichloroethylene),which constituents will the water system have to monitor quarterly”,”Vinyl chloride”
“ If the state allows water systems to composite samples that are to be analyzed for organic compounds ,which entity must composite the samples and what is the holding time”,”Laboratory,14 days”
“ A follow up sample is required if the concentration in the composite sample is greater than or equal to \rule{1.5cm}{0.5pt} for any contaminant listed in the National Primary Drinking Water Regulations”,”0.0005mg/L”
“ Which analytical test can be performed by any person acceptable to the state”,”Alkalinity”

