Front,Back
"What is a foot valve?","A check valve at the bottom of a suction line to maintain prime and prevent backflow."
"What is a pump station surge tank?","A tank used to absorb pressure surges and protect pipes from water hammer."
"What is water hammer?","A pressure surge caused by sudden changes in flow velocity, such as pump starts or stops."
"How can water hammer be minimized?","By using slow-closing valves, surge tanks, or variable speed drives."
"What is a variable frequency drive (VFD)?","A device that controls motor speed and pump flow by adjusting motor frequency."
"What are the benefits of VFDs?","They improve energy efficiency, reduce water hammer, and provide flexible flow control."
"What is pump head measured in?","Feet of water or meters, representing pressure converted into equivalent water column height."
"What is brake horsepower (BHP)?","The actual horsepower delivered to a pump shaft by the motor."
"What is water horsepower (WHP)?","The theoretical power required to move water, based on flow and head."
"What is motor efficiency?","The ratio of output shaft power to electrical power input."
"What is pump station redundancy?","Having standby pumps to ensure service reliability during maintenance or failures."
"What is a jockey pump?","A small pump used to maintain pressure in a system without starting main pumps."
"What is parallel pump operation?","Running multiple pumps together to increase flow while maintaining similar head."
"What is series pump operation?","Running pumps in series to increase head while maintaining similar flow."
"What is a pressure relief valve in pumping?","A valve that opens to protect pumps and piping from excessive pressure."
"What is a wet well?","A basin where influent water collects before being pumped."
"What is a dry well?","A separate chamber housing pumps and motors, kept dry for maintenance access."
"What is SCADA in pump stations?","Supervisory Control and Data Acquisition system used for remote monitoring and control of pumps."
"What is pump run time tracking?","Recording operating hours to schedule maintenance and assess wear."
"Why lubricate pump bearings?","To reduce friction, prevent overheating, and extend service life."
"What is alignment in pumps?","Proper positioning of pump and motor shafts to reduce vibration and wear."
"What is a mechanical seal?","A device preventing leakage along the pump shaft, replacing packing in many pumps."
"What is packing in a pump?","Rings of material compressed around the shaft to control leakage in older pump designs."
"What is pump station head loss?","The energy lost to friction, fittings, and minor losses within a pumping station."
"Why is pump curve testing done?","To confirm actual pump performance matches manufacturer specifications."
"What is pump shutoff head?","The maximum head a pump develops at zero flow."
"What is wire-to-water efficiency?","Overall efficiency from electrical input to hydraulic output, including motor and pump losses."
"What is condition monitoring in pumps?","Tracking vibration, temperature, and performance to predict failures."
"Why rotate standby pumps periodically?","To balance wear, confirm operability, and extend equipment life."
"What is pump station safety concern?","Confined space hazards, electrical safety, rotating equipment, and chemical feed risks."
“What are pumps used for?”,”To add energy to liquids to produce flow or increase pressure”
“What is pressure defined as?”,”force per unit area”
“How do all pumps move fluid (water, oil, molten metal, sludge) from one place to another?”,”Some combination of Pushing, Pulling, Throwing, Squeezing”
“What do all pumps have?”,”A power end (pistons on reciprocating pumps; motors on centrifugal pumps), Fluid end or the pumping end”
“Do pumps develop energy on their own?”,”No”
“What are the main types of pumps?”,”Kinetic, Positive displacement, Educators and ejectors”
“How does centrifugal pump work?”,”Uses a spinning rotor (impeller or propeller) to increase kinetic energy and pressure of the pumped fluid.”
“Why is it not a good idea to operate a centrifugal pump for long periods of time with the discharge closed?”,”The heat generated due to a closed discharge valve can cause the pump to explode.”
“What is another name for a centrifugal pump?”,”A Volute pump”
“What is the volute and what is its purpose?”,”The volute is the pump casing, the impeller discharges into a volute, which is a gradually widening spiral channel in the pump casing.”
The volute converts the liquid velocity created by the impeller to pressure”
“What is an impeller?”,”impellers spin at a high rate of speed and must be carefully machined and balance to avoid vibration”
“What are some types of impellers?”,”Closed impellers: have side walls or shrouds on both sides of the vanes. A semiclosed impeller: has a wall on one side of the vanes; the other side is open An open impeller: has no side walls, the vanes are attached directly to the hub. Hub is a solid center area that has a hole through it. The pump shaft extends through the hub.”
“What is the eye of an impeller?”,”The eye is the area the liquid enters into the impeller.”
“Pump capacity is expressed by what?”,”Pump capacity is expressed as volumetric flow rate \& discharge pressure. Note: remember flow rate and discharge pressure.”
“The capacity of a centrifugal pump can be increased by doing one of two things. What are they?”,”1. Increase the speed of the pump 2. Increase the size of the impeller”
“What does positive displacement mean?”,”For every revolution or stroke a definite volume is displaced.”
“How does a vane pump work?”,”The vanes maintain pressure against the pump housing”
“How does a rotary screw pump work?”,”As the screw rotates fluid moves along the axis of the screw”
“How do gear pumps work?”,”Use the meshing of gears to move fluid”
“How do reciprocating piston pumps work?”,”Piston reciprocates back and forth inside a cylinder. The liquid piston is driven by power piston or by a rotating crank shaft. The liquid piston moves the fluid. The power piston is driven by steam or compressed air. A crank shaft would be driven by an electric motor or steam turbine”
“What is a diaphragm pump?”,”Uses reciprocating action to flex a diaphragm. This action either fills or empties the chambers in the pump. Fluid is directed by use of check valves.”
“What is pump capacity?”,”The capacity of a pump is the amount of liquid the pump can handle in a given period of time. It is usually expressed in GPM delivered at a specific pressure.”
“What is head?”,”The vertical distance between the two liquid levels in a pumping system.”
“What is total pump head?”,”The sum of the suction lift and the discharge head”
“What is static discharge head?”,”The vertical distance from the centerline of the pump to the liquid level on the discharge”
“What is friction head?”,”In addition to the head pressures, there is always a friction loss associated with the system.”
“What is velocity head?”,”The head pressure required to impart velocity to a fluid.”
“What is Net Positive Suction Head (NPSH)?”,”It is the head necessary needed to overcome the friction and flow losses in a pump's suction. The minimum suction head will be supplied by the pump manufacturer. If a pump is operated below the NPSH, cavitation can occur.”
“What is cavitation?”,”the formation of bubbles within the pumped liquid that collapse and damage the propeller or impeller.”

