Front,Back
"What method can operators employ to combat nitrification?
a. Lower residual chlorine target
b. Keep reservoir levels static
c. Minimize free ammonia in treated water
d. Increase water age",c. Minimize free ammonia in treated water
"How many times stronger is chlorine compared to monochloramine (disinfection power)?
a. 250 times
b. 20 times
c. 1500 times
d. 5 times",b. 20 times
"What chemicals are formed when chlorine is mixed with water?
a. Hydrogen sulfide and ammonia
b. DPD and carbon dioxide
c. Sodium hypochlorite and calcium hypochlorite
d. Hypochlorous acid and hydrochloric acid",d. Hypochlorous acid and hydrochloric acid
"Chlorine residual is measured in the field using the
a. Electroconductivity method
b. EDTA titrimetric method
c. Ortho-tolidine colorimetric method
d. DPD colorimetric method
e. Differential pH method",d. DPD colorimetric method
"In nitrification, bacteria consume excess ammonia in the water and produce
a. Chloramines
b. Free chlorine
c. Urine
d. Nitrite
e. Sodium thiosulfate",d. Nitrite
"Which of the following is a form of free chlorine?
a. Nitrite
b. Hypochlorous acid
c. Monochloramine
d. Hydrochloric acid
e. Trichloramine",b. Hypochlorous acid
"A distribution system operator measures a total chlorine residual of display this residual?
1. 25 mg/L. How many points on the chlorine breakpoint curve may
a. Zero
b. One
c. Two
d. Three
e. Four",c. Two
"What is the chlorine dosage that must be applied when disinfecting a pipeline using the slug method?
a. 300 mg/L
b. 100 mg/L
c. 50 mg/L
d. 25 mg/L
e. 6 mg/L",a. 300 mg/L
"Which of the following is a form of combined chlorine?
a. Hypochlorite ion
b. Hypochlorous acid
c. Monochloramine
d. Hydrochloric acid
e. Free ammonia",c. Monochloramine
"A total chlorine residual of 1.25 mg/L and a free chlorine residual of 1.15 mg/L indicates chloramine curve
a. The system is operating with a chloramine residual
b. The chlorine demand is 0.10 mg/L
c. The chlorine demand is 2.40 mg/L
d. Chloramines are being destroyed by free chlorine
e. The system is operating to the right of the breakpoint on the",e. The system is operating to the right of the breakpoint on the
"Which of the following is the most desirable form of combined residual chlorine?
a. Hypochlorite ion
b. Hypochlorous acid
c. Monochloramine
d. Dichloramine
e. Trichloramine",c. Monochloramine
"Of the following, which is the most effective disinfectant?
a. Hypochlorite ion
b. Hypochlorous acid
c. Monochloramine
d. Dichloramine
e. Trichloramine",b. Hypochlorous acid
"A field chlorine residual shows no reading at one minute, but 2.1 mg/L after three minutes. This indicates
a. The field DPD test kit needs maintenance
b. There is no chlorine residual
c. There is no free residual, but there are 2.1 mg/L of chloramines
d. There is no combined residual, but the free chlorine residual is
2. 1 mg/L
e. The analyst should wait an additional three minutes and re-test","c. There is no free residual, but there are 2.1 mg/L of chloramines"
"When disinfecting a storage tank, one method calls for the bottom 6% of the tank volume to be chlorinated for at least 6 hours with an applied chlorine dosage of
a. 50 mg/L
b. 25 mg/L
c. 6 mg/L
d. 4 mg/L
e. 0.2 mg/L",a. 50 mg/L
"Residual chlorine refers to minutes
a. The amount of chlorine in the chlorinated water after several
b. The chlorine needed to disinfect the water supply
c. The chlorine needed to produce floc
d. The sludge in the bottom of the solution tank
e. None of the above",a. The amount of chlorine in the chlorinated water after several
"While handling sodium hypochlorite, proper safety precautions include:
a. Avoiding situations that could splash hypochlorite solution
b. Using a face shield and/or goggles to avoid eye contact
c. Minimizing skin contact with gloves/protective clothing
d. All of the above",d. All of the above
"The fusible plug that is in all chlorine containers
a. Is not necessary
b. May be used as a tap
c. Should be removed after cylinders are empty
d. Should never be removed or tampered with
e. Should be removed prior to withdrawing chlorine",d. Should never be removed or tampered with
"Sodium hypochlorite is a
a. Compound purchased in liquid solution used for disinfection
b. Dry neutralizing powder for treating chlorine burns
c. Gas delivered in 100-lb, 150-lb, or one-ton containers
d. Salt formed when HCl is neutralized with caustic soda
e. None of the above",a. Compound purchased in liquid solution used for disinfection
"The chlorine demand abruptly jumps in your source water. This may indicate that
a. The water source has been contaminated
b. Flow rates have increased
c. The hypochlorite solution has deteriorated
d. The hypochlorite solution tank is empty
e. The hypochlorite ion exceeds hypochlorous acid",a. The water source has been contaminated
"The chemical compound typically found in chlorination tablets and granules is
a. Sodium hypochlorite
b. Sodium hydroxide
c. Sodium chloride
d. Calcium hypochlorite
e. Calcium hydroxide",d. Calcium hypochlorite
"The maximum rate of withdrawal of gas from a 150-pound chlorine cylinder in 24 hours is
a. 20 pounds
b. 40 pounds
c. 100 pounds
d. 150 pounds
e. None of the above",b. 40 pounds
"The maximum rate of withdrawal of gas from a one-ton chlorine container in 24 hours is
a. 40 pounds
b. 100 pounds
c. 400 pounds
d. One ton
e. Variable",c. 400 pounds
"A chlorine leak can be detected by
a. An explosimeter
b. Checking the leak gauge
c. Applying ammonia solution
d. A tri-gas detector
e. None of the above",c. Applying ammonia solution
"When using the continuous feed method of disinfection, a new water main should be flushed, disinfected at 50 mg/L, and held above 25 mg/L for at least
a. 6 hours
b. 12 hours
c. 24 hours
d. 36 hours
e. 48 hours",c. 24 hours
"If you encounter a liquid chlorine leak in a one-ton container, what action should you take first, to reduce the severity of the leak?
a. Apply a caustic solution
b. Apply an acidic solution
c. Spray the container with water
d. Spray with ammonia solution
e. Rotate the container to place the leak at the top",e. Rotate the container to place the leak at the top
"What should the chlorine dosage be to water that has a chlorine demand of 1.5 mg/L, when a free residual of 1.0 mg/L is desired?
a. 0.5 mg/L
b. 1.0 mg/L
c. 1.5 mg/L
d. 2.5 pounds per day
e. 2.5 mg/L",e. 2.5 mg/L
"When chlorine reacts with natural organic matter in the water, it is possible to form
a. Disinfection by-products
b. Arsenic
c. MTBE
d. Coliforms
e. Synthetic organic compounds",a. Disinfection by-products
"Which of the following best describes the characteristics of chlorine when used for disinfection in drinking water?
a. Colorless, flammable, heavier than air
b. Greenish-yellow, nonflammable, lighter than air
c. Greenish-yellow, flammable, lighter than air
d. Greenish-yellow, nonflammable, heavier than air","d. Greenish-yellow, nonflammable, heavier than air"
"Killing of pathogenic organisms in water treatment is called
a. Disinfection
b. Oxidation
c. Pasteurization
d. Sterilization",a. Disinfection
"Chlorine reacts with nitrogenous compounds to form
a. Ammonia nitrate
b. Free chlorine
c. Chlorinated hydrocarbons
d. Chloramines",d. Chloramines
"Sodium hypochlorite is
a. A commercially available chlorine solution
b. A commercially available dry chlorine compound
c. Chlorine available in 100- and 150-pound cylinders
d. A reaction product of chlorine and caustic soda",a. A commercially available chlorine solution
"A hypochlorinator is
a. Used to measure residual chlorine
b. Used in the treatment of iron and turbidity
c. Used to feed a liquid solution into a water supply
d. Used to measure chlorine gas into the supply",c. Used to feed a liquid solution into a water supply
"The chlorine gas feed rate is usually controlled by adjusting the
a. water flow to the injector
b. valve on the chlorine cylinder
c. pressure in the chlorine cylinder
d. rotameter control valve",d. rotameter control valve
"If disinfection is incomplete because the chlorine residual is in the hypochlorite ion form, what should you change to improve disinfection?
a. Calcium
b. Hardness
c. pH
d. alkalinity",c. pH
"Breakpoint chlorination is achieved when free residual is detected
a. Free ammonia can be tasted in the water
b. No chlorine residual is detected
c. The strong chlorine taste at the plant did not persist
d. When chlorine dosage is increased, a corresponding increase in","d. When chlorine dosage is increased, a corresponding increase in"
"Because chlorine residual is related to the pH of the water, it may be said that
a. A higher pH requires a higher chlorine residual
b. A higher pH requires a lower chlorine residual
c. A lower pH requires a higher chlorine residual
d. pH has no effect on chlorine residual",a. A higher pH requires a higher chlorine residual
"As long as the temperature is steady, the pressure indicator on a chlorine cylinder will
a. Remain steady until all liquid has vaporized
b. Decrease slowly
c. Decrease rapidly
d. Increase slightly",a. Remain steady until all liquid has vaporized
"When fresh, the typical concentration of sodium hypochlorite solution is
a. 1.25%
b. 6.5%
c. 12.5%
d. 65%
e. variable",c. 12.5%
"Chlorine in a dry form is called:
a. hypochlorite
b. hypochlorous
c. hydrochlorite
d. hydroxide",a. hypochlorite
"Which of the following procedures is done when preparing to disconnect a chlorine cylinder? drawn off the cylinder
a. Close the cylinder valve first to allow time for chlorine to be
b. Loosen the line to the tank and then shut off the valve
c. Shut off the water supply and wait
d. Turn the chlorinator feed rate valve off then turn the valve on",a. Close the cylinder valve first to allow time for chlorine to be
"A vacuum is formed in the chlorinator by the:
a. chlorine cylinder pressure
b. pressure differential through the ejector
c. chlorine feed pump
d. rotameter",b. pressure differential through the ejector
"When calcium hypochlorite is used for disinfecting a water supply, it should be
a. Dissolved, allowed to settle, and the supernatant fed
b. Dissolved and injected as a dry chemical
c. Fed as a dry chemical directly into the pipeline
d. Fed as a dry powder into the clearwell","a. Dissolved, allowed to settle, and the supernatant fed"
"Which of the following best describes ""chlorine demand""? given contact time
a. Difference between chlorine added and turbidity
b. Difference between chlorine added and pH
c. Difference between total and free chlorine residual
d. Difference between chlorine added and residual remaining after a",d. Difference between chlorine added and residual remaining after a
"When two one-ton cylinders are feeding gas and one of them is frosted, what might be the problem?
a. The feed rate is too high
b. The line on the frosted tank is clogged
c. The valve on the unfrosted tank is closed
d. The injector is clogged",a. The feed rate is too high
"There is low vacuum and low flow when the rate valve is wide open; what is the problem?
a. The feed rate is too high
b. The injector is clogged
c. There is a clogged feed line
d. The rotameter is clogged",b. The injector is clogged
"If ammonia vapor is passed over a chlorine leak in a cylinder valve, the presence of the leak is indicated by a
a. Yellow cloud
b. White cloud
c. Gray cloud
d. Brown cloud",b. White cloud
"Which disinfection method provides a residual safeguard?
a. ozonation
b. chlorination
c. membrane filtration
d. ultraviolet radiation",b. chlorination
"Which is the most effective disinfectant when chlorine is added to water?
a. hydrogen ion
b. calcium dioxide
c. hypochlorous acid
d. haloacetic acid",c. hypochlorous acid
"When chlorine reacts with organics in the water it has the tendency to produce
a. chloramines
b. trihalomethanes and haloacetic acids
c. macrofloc
d. apparent color",b. trihalomethanes and haloacetic acids
"Which type of flow meter should be used for chlorinators which require very low flow
a. Rotameter
b. Loss of head meter
c. Positive displacement meter
d. Magnetic meter",c. Positive displacement meter
"The device used to regulate and control the rate of feed of chlorine gas is called a
a. Pump regulator
b. Rotameter
c. Gas regulator
d. Chlorinator",d. Chlorinator
"Disinfection by-products can be formed by the reaction of disinfectants with
a. Disinfection by-products
b. Dissolved solids
c. Chemicals
d. Natural organic matter",d. Natural organic matter
"The best way to determine how much chlorine is in a chlorine cylinder is to
a. Shake the cylinder
b. Measure the internal pressure
c. Measure the cylinder residual
d. Weigh the cylinder",d. Weigh the cylinder
"The fusible plugs on a chlorine container are designed to melt and release chlorine when the container reaches which temperature?
a. 158^(∘) − 165^(∘)F
b. 158^(∘) − 165^(∘)C
c. 212^(∘) − 220^(∘)F
d. 100^(∘) − 105^(∘)C",a. 158^(∘) − 165^(∘)F
"The disinfection is incomplete because the chlorine residual is in the hypochlorite ion form; what should you change to improve disinfection?
a. Calcium
b. Hardness
c. pH
d. Total alkalinity",c. pH
"Which is the primary drawback for facilities that use ultraviolet light to disinfect water?
a. It does not inactivate all microorganisms
b. It has the potential to produce THMs
c. Dissolved colloids can shield microorganisms from UV
d. Lamp fouling can block UV and there is no residual",d. Lamp fouling can block UV and there is no residual
"Potassium permanganate is most effective in
a. color removal
b. control of biological growth
c. control of THM formation potential
d. removing iron",d. removing iron
"Chlorine is advantageous over chloramines in that chlorine
a. is a much stronger oxidant
b. has long history of use
c. has simple feeding
d. has a persistent residual",a. is a much stronger oxidant
"Which oxidant has the potential of producing ClO₃⁻ by-products?
a. Chlorine dioxide
b. Chlorine
c. Chloramines
d. Calcium hypochlorite",a. Chlorine dioxide
"Which is the working strength of sodium hydroxide solution in a chlorine neutralization tank?
a. 15%
b. 20%
c. 25%
d. 30%",b. 20%
"Water treatment plants are increasingly using hypochlorination because it is
a. relatively safe compared to using gaseous chlorine
b. very inexpensive compared to other disinfectants
c. a stronger oxidant than gaseous chlorine
d. not going to form trihalomethanes",a. relatively safe compared to using gaseous chlorine
"A single chlorine cylinder is delivering 48 lb/d of chlorine and frosting. The best solution is to
a. Install a fan to improve air circulation
b. Heat the cylinder below the valve with heat tape
c. Heat the valve only
d. Add another cylinder and feed from both",d. Add another cylinder and feed from both
"The pressure-reducing and shutoff valve on a vaporizer will shut off when there is a/an
a. loss of electrical power
b. high water level
c. high water temperature
d. over-pressurization of the vaporization system",a. loss of electrical power
"Taste and odor from phenolic compounds are ------------------------------------------------------------------------ by chlorination.
a. Increased
b. Decreased
c. Not affected",a. Increased
"When certain organic precursors (humic and fulvic acids) and chlorine combine during disinfection, the by-products formed are called
a. Nitrate
b. Arsenic
c. Trihalomethanes
d. Trichloroethylene",c. Trihalomethanes
"When should ammonia be added when making chloramines for secondary disinfection?
a. Before chlorine addition
b. After chlorine addition
c. During filtration
d. Before filtration",b. After chlorine addition
"Which of the following substances is the most effective disinfection residual?
a. Trichloramine
b. Hypochlorous acid
c. Chloramine
d. Hypochlorite ion",b. Hypochlorous acid
"What does DBP stand for?
a. Daily Basis Production
b. Dibutyl By-phthalate
c. Disinfection By-Product
d. Disinfection Before Production",c. Disinfection By-Product
"What is the odor threshold for chlorine?
a. 0.1 to 0.3 ppm
b. 1–3 ppm
c. 10–30 ppm
d. 100–300 ppm",a. 0.1 to 0.3 ppm
"The Maximum Residual Disinfectant Level (MRDL) for free chlorine in the distribution system is
a. 2.0 mg/L
b. 4.0 mg/L
c. 0.8 mg/L
d. 1.0 mg/L",b. 4.0 mg/L
"The MRDL for chloramine (as combined chlorine) is
a. 2.0 mg/L
b. 4.0 mg/L
c. 0.5 mg/L
d. 1.5 mg/L",b. 4.0 mg/L
"The MRDL for chlorine dioxide (entry point) is
a. 4.0 mg/L
b. 2.0 mg/L
c. 0.8 mg/L
d. 0.3 mg/L",c. 0.8 mg/L
"The MCL for chlorite (a chlorine dioxide by-product) is
a. 0.3 mg/L
b. 1.0 mg/L
c. 0.5 mg/L
d. 0.8 mg/L",b. 1.0 mg/L
"The most effective pH range for free chlorine disinfection (maximize HOCl fraction) is approximately
a. 6.0–7.5
b. 8.5–9.5
c. 4.0–5.0
d. 10.0–11.0",a. 6.0–7.5
"The species of free chlorine with the strongest disinfection power is
a. OCl⁻ (hypochlorite ion)
b. HOCl (hypochlorous acid)
c. ClO₂ (chlorine dioxide)
d. NH₂Cl (monochloramine)",b. HOCl (hypochlorous acid)
"The typical target CT concept uses which time parameter from a contact basin?
a. T_(avg)
b. T₅₀
c. T₁₀
d. T₉₀",c. T₁₀
"The baffling factor for a serpentine baffled basin is often approximated as
a. 1.0
b. 0.7–0.8
c. 0.1
d. 0.3–0.4",b. 0.7–0.8
"Increasing water temperature generally
a. Decreases disinfectant effectiveness
b. Increases disinfectant reaction rates (more effective)
c. Has no effect on disinfection
d. Only affects chloramine, not chlorine",b. Increases disinfectant reaction rates (more effective)
"A key operational goal of secondary disinfection in distribution is to
a. Reduce THMs to zero
b. Control biofilm and maintain a measurable residual
c. Remove all ammonia
d. Keep ORP below 300 mV",b. Control biofilm and maintain a measurable residual
"A common cause of nitrification in chloraminated systems is
a. Excess free chlorine
b. Excess free ammonia (high Cl₂:NH₃-N ratio not maintained)
c. Low temperature water
d. High alkalinity",b. Excess free ammonia (high Cl₂:NH₃-N ratio not maintained)
"An effective short-term response to nitrification is
a. Reduce flushing
b. Temporarily convert to free chlorine (burn) and flush
c. Add more ammonia
d. Turn off all booster stations",b. Temporarily convert to free chlorine (burn) and flush
"The preferred combined chlorine species for distribution is
a. Dichloramine
b. Trichloramine
c. Monochloramine
d. Chlorite",c. Monochloramine
"The typical target weight ratio (as Cl₂:NH₃-N) for forming monochloramine is closest to
a. 1:1
b. 4:1 to 5:1
c. 8:1
d. 0.5:1",b. 4:1 to 5:1
"Which disinfectant forms bromate when applied to bromide-containing waters?
a. Free chlorine
b. Ozone
c. Monochloramine
d. UV",b. Ozone
"Which is not a DBP control strategy for THMs/HAA5?
a. Enhanced coagulation to remove NOM
b. Lower prechlorination doses
c. Increase detention time after chlorination with no mixing
d. Use chloramines as secondary disinfectant",c. Increase detention time after chlorination with no mixing
"UV disinfection is best described as
a. An oxidant with long-lasting residual
b. A physical inactivation process with no residual
c. A DBP control chemical
d. A coagulant aid",b. A physical inactivation process with no residual
"A typical UV dose for 3-log Giardia inactivation (UV only) is on the order of
a. 2–5 mJ/cm²
b. 30–40 mJ/cm²
c. 100–120 mJ/cm²
d. 0.5–1.0 mJ/cm²",b. 30–40 mJ/cm²
"The DPD colorimetric method measures
a. Only free chlorine
b. Free and total chlorine (with appropriate reagents)
c. Only combined chlorine
d. ORP directly",b. Free and total chlorine (with appropriate reagents)
"A known interference for free chlorine DPD testing that can cause low or zero readings is
a. Chloride
b. Sulfate
c. Nitrite
d. Calcium",c. Nitrite
"A standard reagent used to quench chlorine in bacteriological sample bottles is
a. Sodium hydroxide
b. Sodium thiosulfate
c. Phosphoric acid
d. EDTA",b. Sodium thiosulfate
"Typical ORP values indicating a robust free chlorine residual in finished water are
a. 150–200 mV
b. 200–250 mV
c. 650–750 mV
d. >1000 mV",c. 650–750 mV
"Breakpoint chlorination occurs when oxidizing demand and chloramines
a. Free residual decreases with increasing dose
b. Added chlorine finally produces a sustained free residual after
c. Combined residual peaks
d. pH drops below 5.0",b. Added chlorine finally produces a sustained free residual after
"Chlorine gas leak response requires
a. Cotton mask and gloves
b. Positive-pressure SCBA and trained personnel only
c. N95 mask with cartridge
d. No special PPE",b. Positive-pressure SCBA and trained personnel only
"The best way to know how much chlorine remains in a cylinder is to
a. Read the pressure gauge
b. Weigh the cylinder
c. Tap and listen
d. Read the rotameter",b. Weigh the cylinder
"A vacuum-operated gas feeder helps improve safety by
a. Increasing cylinder pressure
b. Eliminating chlorinator maintenance
c. Preventing gas flow unless vacuum is present
d. Making the gas room airtight",c. Preventing gas flow unless vacuum is present
"A storage tank with poor mixing is likely to
a. Reduce water age
b. Increase CT
c. Lose residual and promote nitrification/biofilm
d. Lower DBP formation",c. Lose residual and promote nitrification/biofilm
"Which practice reduces THM formation potential before disinfection?
a. Aeration after chlorination
b. Remove NOM with coagulation/filtration
c. Raise pH during chlorination
d. Increase clearwell detention time",b. Remove NOM with coagulation/filtration
"Chloramination is often chosen over free chlorine primarily to
a. Increase immediate inactivation of pathogens
b. Provide a more stable distribution residual and lower THMs
c. Eliminate all DBPs
d. Avoid ammonia handling",b. Provide a more stable distribution residual and lower THMs
"A typical target entry-point free chlorine residual is at least
a. 0.05 mg/L
b. 0.2 mg/L
c. 1.0 mg/L
d. 2.0 mg/L",b. 0.2 mg/L
"The strongest practical oxidant in common drinking-water use is
a. Chloramine
b. Free chlorine
c. Ozone
d. UV",c. Ozone
"For Giardia inactivation with free chlorine, CT requirements decrease when
a. pH increases
b. Temperature increases
c. Turbidity increases
d. NOM increases",b. Temperature increases
"When converting a chloraminated system to a free-chlorine burn, operators should nitrite
a. Add ammonia first, then chlorine
b. Stop ammonia feed, raise free chlorine, flush and monitor
c. Increase ammonia feed to suppress THMs
d. Lower pH to below 5.5","b. Stop ammonia feed, raise free chlorine, flush and monitor"
"The most common cause of sudden loss of chlorine residual at the entry point is demand)
a. Low alkalinity
b. Sudden increase in raw-water demand/organic load (higher
c. High hardness
d. Excess aeration",b. Sudden increase in raw-water demand/organic load (higher
"Chlorine dioxide is favored when the utility wants to formation
a. Form HAA5
b. Control taste/odor and oxidize iron/manganese with lower THM
c. Provide long-lasting residual
d. Avoid chlorite",b. Control taste/odor and oxidize iron/manganese with lower THM
"Which by-product is most closely associated with chlorine dioxide use?
a. Bromate
b. Chlorite
c. Chloroform
d. Chloral hydrate",b. Chlorite
"A common reason for high nitrite at the distribution extremities in a chloraminated system is
a. Overfeeding chlorine
b. Nitrification with ammonia-oxidizing bacteria
c. Overflushing
d. High ORP",b. Nitrification with ammonia-oxidizing bacteria
"In a clearwell, the most impactful design feature for improving CT is
a. Deeper basin
b. Lower pH
c. Baffling to increase T₁₀
d. Raising alkalinity",c. Baffling to increase T₁₀
"The fastest field check to distinguish free vs combined chlorine with DPD is = combined
a. Add KI first, then buffer
b. Measure free (DPD 1), then add KI (DPD 3) for total; difference
c. Use orthotolidine only
d. ORP probe reading","b. Measure free (DPD 1), then add KI (DPD 3) for total; difference"
"Which change most strongly reduces HOCl fraction at constant chlorine dose?
a. Lower temperature
b. Higher pH
c. Higher alkalinity
d. Lower hardness",b. Higher pH
"Sodium hypochlorite solutions degrade fastest when stored
a. Cool, dark, diluted
b. Warm, bright light, concentrated
c. Cool, dark, concentrated
d. In opaque tanks at 5–10^(∘)C","b. Warm, bright light, concentrated"
"The best practice for sampling bacteriological quality in a chloraminated system includes
a. No neutralizer in bottles
b. Adding NaOH to raise pH
c. Using sodium thiosulfate in bottles to quench disinfectant
d. Heating the bottle to 30^(∘)C",c. Using sodium thiosulfate in bottles to quench disinfectant
